AKVKPQ41	60.80839	-78.17217
ALAMGAXA	32.14719	-82.77639
ALAMNDXA	48.58132	-103.47458
ALAMNVXF	37.36244	-115.16703
ALAMTNXA	35.78278	-89.11916
ALANSK01	51.89387	-106.05812
ALBABCRR	50.59018	-126.92397
ALBAMIXJ	44.97384	-84.96421
ALBAON75	45.35416	-78.99511
ALBATXXA	32.79215	-95.62414
ALBGVTXA	44.97378	-73.28887
ALBIIAXO	41.02321	-92.80227
ALBLPQ01	48.88371	-72.44299
ALBMNCXA	35.35192	-80.19908
ALBNIAXO	42.11900	-92.98323
ALBNIDXC	42.40898	-113.58019
ALBNILXE	38.37881	-88.06016
ALBNINXA	41.39656	-85.42075
ALBNMEXA	44.53452	-69.44110
ALBNMIMN	42.24451	-84.75748
ALBNNEXG	41.69115	-97.99955
ALBNNYAI	43.24427	-78.19000
ALBNOKXA	34.66784	-95.09847
ALBNPAXA	41.88982	-80.36794
ALBNWYXC	41.41662	-104.09809
ALBOMNXB	46.97487	-92.56894
ALBQNM10	35.08714	-106.65218
ALBQNM12	35.09158	-106.65062
ALBQNM21	35.08207	-106.59000
ALBQNMAC	35.16645	-106.56028
ALBQNMCR	35.20136	-106.64696
ALBQNMEA	35.07890	-106.59693
ALBQNMMA	35.08587	-106.64681
ALBQNMMF	35.08143	-106.64837
ALBQNMMG	35.05479	-106.61704
ALBQNMNE	35.10743	-106.53454
ALBQNMNH	35.10173	-106.57145
ALBQNMNO	35.13283	-106.64195
ALBQNMRR	35.24193	-106.69677
ALBQNMSH	35.08143	-106.64837
ALBQNMSM	35.12014	-106.58824
ALBQNMSW	35.03192	-106.68317
ALBQNMWE	35.07375	-106.73824
ALBQNMXM	35.08270	-106.65374
ALBQNMXP	35.14616	-106.59653
ALBRALXA	32.23157	-87.41213
ALBRIAXO	42.14789	-91.61676
ALBRILXE	38.52182	-89.60956
ALBRNBSC	45.74464	-64.74027
ALBRNMFE	35.18169	-106.58402
ALBRNMGJ	35.13601	-106.59429
ALBRNMJW	35.08461	-106.64144
ALBRVAXA	36.86125	-77.88177
ALBSALMA	33.23412	-86.82150
ALBSNMBR	35.12332	-106.62202
ALBYCA11	37.89002	-122.28220
ALBYGACF	33.95108	-84.22600
ALBYGADZ	31.57640	-84.15306
ALBYGAFT	31.58841	-84.14518
ALBYGAIT	31.54845	-83.99867
ALBYGAMA	31.58040	-84.15043
ALBYGAME	31.60155	-84.16125
ALBYGAPN	31.58497	-84.15978
